<<<<<<< HEAD
"Year","Player","Tm","Pos","Age","G","MP","FG","FGA","3P","3PA","2P","2PA","FT","FTA","TRB","AST","STL","BLK","PTS","MP_pg","FG_pg","FGA_pg","3P_pg","3PA_pg","2P_pg","2PA_pg","FT_pg","FTA_pg","TRB_pg","AST_pg","STL_pg","BLK_pg","PTS_pg","team_salary","win_pct","team_rank","Salary","RPM"
2017,"Alex Abrines","OKC","SG",23,68,1055,134,341,94,247,40,94,44,49,86,40,37,8,406,15.5147058823529,1.97058823529412,5.01470588235294,1.38235294117647,3.63235294117647,0.588235294117647,1.38235294117647,0.647058823529412,0.720588235294118,1.26470588235294,0.588235294117647,0.544117647058823,0.117647058823529,5.97058823529412,96276478,0.573,10,5994764,-0.38
2017,"Quincy Acy","BRK","PF",26,38,558,70,170,37,90,33,80,45,60,115,18,14,15,222,14.6842105263158,1.84210526315789,4.47368421052632,0.973684210526316,2.36842105263158,0.868421052631579,2.10526315789474,1.18421052631579,1.57894736842105,3.02631578947368,0.473684210526316,0.368421052631579,0.394736842105263,5.84210526315789,83392086,0.244,30,1790092,-2.1
2017,"Steven Adams","OKC","C",23,80,2389,374,655,0,1,374,654,157,257,615,86,88,78,905,29.8625,4.675,8.1875,0,0.0125,4.675,8.175,1.9625,3.2125,7.6875,1.075,1.1,0.975,11.3125,96276478,0.573,10,3140517,-1.48
2017,"Arron Afflalo","SAC","SG",31,61,1580,185,420,62,151,123,269,83,93,125,78,21,7,515,25.9016393442623,3.0327868852459,6.88524590163934,1.01639344262295,2.47540983606557,2.01639344262295,4.40983606557377,1.36065573770492,1.52459016393443,2.04918032786885,1.27868852459016,0.344262295081967,0.114754098360656,8.44262295081967,95667033,0.39,23,12500000,1.3
2017,"Alexis Ajinca","NOP","C",28,39,584,89,178,0,4,89,174,29,40,177,12,20,22,207,14.974358974359,2.28205128205128,4.56410256410256,0,0.102564102564103,2.28205128205128,4.46153846153846,0.743589743589744,1.02564102564103,4.53846153846154,0.307692307692308,0.512820512820513,0.564102564102564,5.30769230769231,101408319,0.415,21,4638203,-0.97
2017,"Cole Aldrich","MIN","C",28,62,531,45,86,0,0,45,86,15,22,158,25,25,23,105,8.56451612903226,0.725806451612903,1.38709677419355,0,0,0.725806451612903,1.38709677419355,0.241935483870968,0.354838709677419,2.54838709677419,0.403225806451613,0.403225806451613,0.370967741935484,1.69354838709677,83666820,0.378,24,7643979,0.2
2017,"LaMarcus Aldridge","SAS","PF",31,72,2335,500,1049,23,56,477,993,220,271,524,139,46,89,1243,32.4305555555556,6.94444444444444,14.5694444444444,0.319444444444444,0.777777777777778,6.625,13.7916666666667,3.05555555555556,3.76388888888889,7.27777777777778,1.93055555555556,0.638888888888889,1.23611111111111,17.2638888888889,108372142,0.744,2,20575005,3.35
2017,"Lavoy Allen","IND","PF",27,61,871,77,168,0,1,77,167,23,33,220,57,18,24,177,14.2786885245902,1.26229508196721,2.75409836065574,0,0.0163934426229508,1.26229508196721,2.73770491803279,0.377049180327869,0.540983606557377,3.60655737704918,0.934426229508197,0.295081967213115,0.39344262295082,2.90163934426229,94002004,0.512,13,4e+06,-1.09
2017,"Tony Allen","MEM","SG",35,71,1914,274,595,15,54,259,541,80,130,391,98,115,29,643,26.9577464788732,3.85915492957746,8.38028169014085,0.211267605633803,0.76056338028169,3.64788732394366,7.61971830985915,1.12676056338028,1.83098591549296,5.50704225352113,1.38028169014085,1.61971830985915,0.408450704225352,9.05633802816901,110966428,0.524,11,5505618,-0.54
2017,"Al-Farouq Aminu","POR","SF",26,61,1773,183,466,70,212,113,254,96,136,451,99,60,44,532,29.0655737704918,3,7.63934426229508,1.14754098360656,3.47540983606557,1.85245901639344,4.16393442622951,1.57377049180328,2.22950819672131,7.39344262295082,1.62295081967213,0.983606557377049,0.721311475409836,8.72131147540984,112845578,0.5,15,7680965,0.2
2017,"Chris Andersen","CLE","C",38,12,114,9,22,0,3,9,19,10,14,31,5,5,7,28,9.5,0.75,1.83333333333333,0,0.25,0.75,1.58333333333333,0.833333333333333,1.16666666666667,2.58333333333333,0.416666666666667,0.416666666666667,0.583333333333333,2.33333333333333,127570596,0.622,5,980431,-3.88
2017,"Alan Anderson","LAC","SF",34,30,308,30,80,14,44,16,36,12,16,24,11,3,0,86,10.2666666666667,1,2.66666666666667,0.466666666666667,1.46666666666667,0.533333333333333,1.2,0.4,0.533333333333333,0.8,0.366666666666667,0.1,0,2.86666666666667,118661756,0.622,5,980431,-3.37
2017,"Justin Anderson","DAL","SF",23,75,1228,186,439,58,194,128,245,102,129,245,66,41,23,532,16.3733333333333,2.48,5.85333333333333,0.773333333333333,2.58666666666667,1.70666666666667,3.26666666666667,1.36,1.72,3.26666666666667,0.88,0.546666666666667,0.306666666666667,7.09333333333333,103564162,0.402,22,1514160,-2.2
2017,"Kyle Anderson","SAS","SG",23,72,1020,93,209,15,40,78,169,45,57,208,91,51,26,246,14.1666666666667,1.29166666666667,2.90277777777778,0.208333333333333,0.555555555555556,1.08333333333333,2.34722222222222,0.625,0.791666666666667,2.88888888888889,1.26388888888889,0.708333333333333,0.361111111111111,3.41666666666667,108372142,0.744,2,1192080,-2.49
2017,"Ryan Anderson","HOU","PF",28,72,2116,323,773,204,506,119,267,129,150,330,68,32,14,979,29.3888888888889,4.48611111111111,10.7361111111111,2.83333333333333,7.02777777777778,1.65277777777778,3.70833333333333,1.79166666666667,2.08333333333333,4.58333333333333,0.944444444444444,0.444444444444444,0.194444444444444,13.5972222222222,91030536,0.671,3,18735364,2.92
